date,time,symbol,setup,side,entry,stop,target,exit,pnl,r_multiple,size,bias_weight,reasons,momentum_score,mean_rev_score,vol_cap,pullback_score,exit_time
2023-05-02,2023-05-02T13:50:00-04:00,SPY,momentum_continuation,LONG,410.91,410.3242857142857,411.3048571428571,410.51,-212.80000000001814,-0.6829268292682809,532,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-02T14:05:00-04:00
2023-05-02,2023-05-02T14:05:00-04:00,SPY,momentum_continuation,LONG,410.51,409.92410714285717,411.05907142857143,409.89,-256.6800000000019,-1.0582139591588613,414,0.5,mom_score:0.80,0.8,0.0,0.95,,2023-05-02T14:15:00-04:00
2023-05-02,2023-05-02T14:20:00-04:00,SPY,momentum_continuation,LONG,410.34,410.34,410.99364285714285,410.99,239.85000000001259,,369,0.5,mom_score:0.80,0.8,0.0,0.95,,2023-05-02T14:55:00-04:00
2023-05-02,2023-05-02T14:55:00-04:00,SPY,momentum_continuation,LONG,410.99,410.29875000000004,411.7755,410.93,-21.180000000000803,-0.08679927667270168,353,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-02T16:00:00-04:00
2023-05-03,2023-05-03T12:00:00-04:00,SPY,momentum_continuation,LONG,411.46,411.46,412.1398571428572,412.125,282.6250000000087,,425,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-03T13:00:00-04:00
2023-05-03,2023-05-03T13:00:00-04:00,SPY,momentum_continuation,LONG,412.125,412.125,412.5992857142857,412.16,21.24500000001518,,607,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-03T13:40:00-04:00
2023-05-03,2023-05-03T13:40:00-04:00,SPY,momentum_continuation,LONG,412.16,412.16,412.5679285714285,412.14,-12.880000000024893,,644,0.5,mom_score:0.80,0.8,0.0,0.95,,2023-05-03T14:05:00-04:00
2023-05-03,2023-05-03T14:05:00-04:00,SPY,momentum_continuation,LONG,412.14,411.4298214285715,412.64021428571425,411.82,-124.15999999999735,-0.4505908976615806,388,0.5,mom_score:0.80,0.8,0.0,0.95,,2023-05-03T14:10:00-04:00
2023-05-03,2023-05-03T14:15:00-04:00,SPY,momentum_continuation,LONG,412.1,412.1,412.872,412.85,242.25,,323,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-03T14:25:00-04:00
2023-05-03,2023-05-03T14:25:00-04:00,SPY,momentum_continuation,LONG,412.85,411.9533928571429,413.83792857142856,411.78,-296.39000000001386,-1.1933877713603525,277,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-03T14:35:00-04:00
2023-05-03,2023-05-03T14:40:00-04:00,SPY,momentum_continuation,LONG,412.6,412.6,414.1137857142857,411.79,-157.14000000000044,,194,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-03T14:50:00-04:00
2023-05-03,2023-05-03T15:20:00-04:00,SPY,mean_reversion_vwap_bbands,SHORT,409.87,412.27410714285713,407.79907142857144,408.38,134.10000000000082,0.6197727103914507,90,0.5,mr_score:0.60,0.0,0.6,0.9173610917650988,,2023-05-03T16:00:00-04:00
2023-05-04,2023-05-04T12:25:00-04:00,SPY,momentum_continuation,LONG,405.26,405.26,406.14164285714287,406.17,290.290000000008,,319,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-04T13:10:00-04:00
2023-05-04,2023-05-04T13:10:00-04:00,SPY,momentum_continuation,LONG,406.17,406.17,407.0367142857143,407.065,277.44999999999436,,310,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-04T13:25:00-04:00
2023-05-04,2023-05-04T13:25:00-04:00,SPY,momentum_continuation,LONG,407.065,406.21410714285713,407.9760714285714,406.26,-238.28000000000202,-0.9460650577124841,296,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-04T13:45:00-04:00
2023-05-04,2023-05-04T13:55:00-04:00,SPY,momentum_continuation,LONG,406.005,405.2292857142857,406.9358571428571,405.15,-235.125000000005,-1.1022099447514033,275,0.5,mom_score:0.80,0.8,0.0,0.95,,2023-05-04T14:30:00-04:00
2023-05-04,2023-05-04T15:05:00-04:00,SPY,momentum_continuation,LONG,405.685,404.97732142857143,406.43521428571427,404.83,-306.0900000000065,-1.208175624526896,358,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-04T15:20:00-04:00
2023-05-05,2023-05-05T12:00:00-04:00,SPY,momentum_continuation,LONG,411.03,410.49642857142857,411.6372857142857,410.42,-278.76999999998026,-1.1432396251673032,457,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-05T12:50:00-04:00
2023-05-05,2023-05-05T13:00:00-04:00,SPY,momentum_continuation,LONG,411.095,411.095,411.66949999999997,411.67,277.7249999999945,,483,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-05T13:35:00-04:00
2023-05-05,2023-05-05T13:40:00-04:00,SPY,momentum_continuation,LONG,411.67,411.67,412.1605714285714,412.1,260.1500000000041,,605,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-05T14:10:00-04:00
2023-05-05,2023-05-05T14:10:00-04:00,SPY,momentum_continuation,LONG,412.1,411.86071428571427,412.4971428571428,411.85,-205.0,-1.0447761194028007,820,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-05T14:20:00-04:00
2023-05-05,2023-05-05T14:20:00-04:00,SPY,momentum_continuation,LONG,411.85,411.85,412.21257142857144,412.485,448.94499999999357,,707,0.5,mom_score:0.80,0.8,0.0,0.95,,2023-05-05T14:30:00-04:00
2023-05-05,2023-05-05T14:35:00-04:00,SPY,momentum_continuation,LONG,412.62,412.62,413.0231428571429,413.14,345.7999999999879,,665,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-05T14:50:00-04:00
2023-05-05,2023-05-05T14:50:00-04:00,SPY,momentum_continuation,LONG,413.14,413.14,413.5565,413.24,65.20000000001482,,652,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-05T15:00:00-04:00
2023-05-05,2023-05-05T15:00:00-04:00,SPY,momentum_continuation,LONG,413.24,412.8282142857143,413.74514285714287,413.065,-89.60000000000582,-0.42497831743281267,512,0.5,mom_score:0.80,0.8,0.0,0.95,,2023-05-05T15:25:00-04:00
2023-05-05,2023-05-05T15:30:00-04:00,SPY,momentum_continuation,LONG,413.065,412.60339285714286,413.62992857142854,412.56,-231.28999999999792,-1.0940038684719668,458,0.5,mom_score:0.80,0.8,0.0,0.95,,2023-05-05T15:55:00-04:00
2023-05-08,2023-05-08T12:00:00-04:00,SPY,momentum_continuation,LONG,412.64,412.2985714285714,413.0717142857143,412.21,-290.2500000000046,-1.2594142259413599,675,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-08T12:15:00-04:00
2023-05-08,2023-05-08T12:20:00-04:00,SPY,momentum_continuation,LONG,412.415,412.03357142857146,412.9057142857143,412.095,-172.47999999999632,-0.838951310861436,539,0.5,mom_score:0.80,0.8,0.0,0.95,,2023-05-08T12:50:00-04:00
2023-05-08,2023-05-08T13:10:00-04:00,SPY,momentum_continuation,LONG,412.31,412.31,412.7577857142857,412.69,247.37999999999704,,651,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-08T13:45:00-04:00
2023-05-08,2023-05-08T13:45:00-04:00,SPY,momentum_continuation,LONG,412.69,412.3851785714286,413.0557857142857,411.745,-736.1549999999947,-3.1001757469245423,779,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-08T14:10:00-04:00
2023-05-08,2023-05-08T14:25:00-04:00,SPY,momentum_continuation,LONG,412.72,412.72,413.45014285714285,412.76,19.279999999982465,,482,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-08T15:15:00-04:00
2023-05-08,2023-05-08T15:40:00-04:00,SPY,momentum_continuation,LONG,412.79,412.4235714285714,413.1967142857143,412.65,-94.50000000002916,-0.3820662768031779,675,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-08T16:00:00-04:00
2023-05-09,2023-05-09T12:55:00-04:00,SPY,momentum_continuation,LONG,411.215,411.215,411.54085714285713,411.69,346.2750000000166,,729,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-09T13:55:00-04:00
2023-05-09,2023-05-09T13:55:00-04:00,SPY,momentum_continuation,LONG,411.69,411.69,411.9469285714286,411.93,215.76000000000818,,899,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-09T14:05:00-04:00
2023-05-09,2023-05-09T14:05:00-04:00,SPY,momentum_continuation,LONG,411.93,411.6376785714286,412.25878571428575,411.225,-592.9049999999866,-2.4117287721441274,841,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-09T14:55:00-04:00
2023-05-09,2023-05-09T15:05:00-04:00,SPY,momentum_continuation,LONG,411.595,411.2625,412.07099999999997,411.15,-287.4700000000323,-1.338345864661649,646,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-09T15:45:00-04:00
2023-05-10,2023-05-10T14:05:00-04:00,SPY,momentum_continuation,LONG,410.535,410.535,411.3145,411.38,294.9049999999897,,349,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-10T14:35:00-04:00
2023-05-10,2023-05-10T14:35:00-04:00,SPY,momentum_continuation,LONG,411.38,411.38,412.1324285714286,411.66,104.44000000001103,,373,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-10T14:50:00-04:00
2023-05-10,2023-05-10T14:50:00-04:00,SPY,momentum_continuation,LONG,411.66,411.66,412.4644285714286,412.66,344.0,,344,0.5,mom_score:0.80,0.8,0.0,0.95,,2023-05-10T15:20:00-04:00
2023-05-10,2023-05-10T15:20:00-04:00,SPY,momentum_continuation,LONG,412.66,412.66,413.33464285714285,413.215,230.8799999999792,,416,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-10T15:30:00-04:00
2023-05-10,2023-05-10T15:30:00-04:00,SPY,momentum_continuation,LONG,413.215,412.5828571428571,413.94057142857145,412.94,-105.59999999999127,-0.4350282485875279,384,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-10T16:00:00-04:00
2023-05-10,2023-05-10T16:00:00-04:00,SPY,momentum_continuation,LONG,412.94,412.07732142857145,413.4032142857143,413.14,70.79999999999598,0.23183605878699426,354,0.5,mom_score:0.80,0.8,0.0,0.95,,2023-05-10T16:00:00-04:00
2023-05-11,2023-05-11T12:00:00-04:00,SPY,momentum_continuation,LONG,411.89,411.29089285714286,412.5649285714286,411.33,-206.64000000000084,-0.934724292101378,369,0.5,mom_score:0.80,0.8,0.0,0.95,,2023-05-11T13:25:00-04:00
2023-05-11,2023-05-11T14:30:00-04:00,SPY,momentum_continuation,LONG,411.505,411.505,412.26057142857144,412.32,312.9599999999991,,384,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-11T14:45:00-04:00
2023-05-11,2023-05-11T14:50:00-04:00,SPY,momentum_continuation,LONG,412.25,411.68053571428567,412.99935714285715,411.61,-253.4399999999946,-1.1238632800249706,396,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-11T15:40:00-04:00
2023-05-11,2023-05-11T15:50:00-04:00,SPY,momentum_continuation,LONG,411.8,411.8,412.4367857142857,412.24,233.1999999999988,,530,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-11T16:00:00-04:00
2023-05-12,2023-05-12T12:00:00-04:00,SPY,momentum_continuation,LONG,411.54,410.94071428571425,412.0721428571428,410.83,-327.31000000001677,-1.1847437425506058,461,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-12T12:05:00-04:00
2023-05-12,2023-05-12T13:25:00-04:00,SPY,momentum_continuation,LONG,410.575,410.0382142857143,411.21914285714286,409.88,-307.189999999997,-1.2947438456420388,442,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-12T13:40:00-04:00
2023-05-12,2023-05-12T14:55:00-04:00,SPY,momentum_continuation,LONG,409.91,409.91,410.46514285714284,410.81,403.1999999999898,,448,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-12T15:35:00-04:00
2023-05-12,2023-05-12T15:35:00-04:00,SPY,momentum_continuation,LONG,410.81,410.81,411.4056428571429,411.51,340.1999999999945,,486,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-12T15:55:00-04:00
2023-05-12,2023-05-12T15:55:00-04:00,SPY,momentum_continuation,LONG,411.51,410.9821428571429,412.0664285714286,411.48,-14.429999999986876,-0.05683355886328161,481,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-12T16:00:00-04:00
2023-05-15,2023-05-15T12:05:00-04:00,SPY,momentum_continuation,LONG,411.76,411.76,412.3138571428571,412.43,315.5700000000075,,471,0.5,mom_score:0.80,0.8,0.0,0.95,,2023-05-15T12:50:00-04:00
2023-05-15,2023-05-15T12:50:00-04:00,SPY,momentum_continuation,LONG,412.43,412.43,412.86792857142854,413.07,373.75999999999203,,584,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-15T13:10:00-04:00
2023-05-15,2023-05-15T13:10:00-04:00,SPY,momentum_continuation,LONG,413.07,412.6508928571428,413.46292857142856,412.285,-504.75499999997953,-1.8730293992328584,643,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-15T13:30:00-04:00
2023-05-15,2023-05-15T14:00:00-04:00,SPY,momentum_continuation,LONG,412.37,411.81232142857147,412.9072142857143,412.705,159.79499999999024,0.600704450848541,477,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-15T15:35:00-04:00
2023-05-15,2023-05-15T15:35:00-04:00,SPY,momentum_continuation,LONG,412.705,412.705,413.1329285714286,412.84,108.94499999999266,,807,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-15T16:00:00-04:00
2023-05-15,2023-05-15T16:00:00-04:00,SPY,momentum_continuation,LONG,412.84,412.66696428571424,413.44364285714283,412.82,-13.439999999987776,-0.1155830753352807,672,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-15T16:00:00-04:00
2023-05-16,2023-05-16T12:00:00-04:00,SPY,momentum_continuation,LONG,411.93,411.3285714285715,412.4647142857143,411.385,-250.1550000000073,-0.9061757719715885,459,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-16T14:10:00-04:00
2023-05-16,2023-05-16T14:50:00-04:00,SPY,momentum_continuation,LONG,411.58,411.20696428571426,412.0496428571428,411.07,-316.19999999999436,-1.367161321206273,620,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-16T15:50:00-04:00
2023-05-17,2023-05-17T12:00:00-04:00,SPY,momentum_continuation,LONG,412.61,411.9821428571429,413.1984285714286,413.14,204.57999999998947,0.8441410693970239,386,0.5,mom_score:0.80,0.8,0.0,0.95,,2023-05-17T12:35:00-04:00
2023-05-17,2023-05-17T12:35:00-04:00,SPY,momentum_continuation,LONG,413.14,413.14,413.57807142857143,413.655,297.6699999999921,,578,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-17T12:40:00-04:00
2023-05-17,2023-05-17T12:40:00-04:00,SPY,momentum_continuation,LONG,413.655,413.655,414.0852142857143,414.12,275.7450000000189,,593,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-17T12:50:00-04:00
2023-05-17,2023-05-17T12:50:00-04:00,SPY,momentum_continuation,LONG,414.12,414.12,414.6804285714286,414.835,398.96999999998604,,558,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-17T13:05:00-04:00
2023-05-17,2023-05-17T13:05:00-04:00,SPY,momentum_continuation,LONG,414.835,414.835,415.3802142857143,415.525,344.30999999999887,,499,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-17T13:35:00-04:00
2023-05-17,2023-05-17T13:35:00-04:00,SPY,momentum_continuation,LONG,415.525,414.96374999999995,416.2095,414.85,-254.47499999998286,-1.2026726057905015,377,0.5,mom_score:0.80,0.8,0.0,0.95,,2023-05-17T14:35:00-04:00
2023-05-17,2023-05-17T14:40:00-04:00,SPY,momentum_continuation,LONG,415.045,414.56910714285715,415.7040714285714,414.555,-202.86000000000377,-1.0296435272045008,414,0.5,mom_score:0.80,0.8,0.0,0.95,,2023-05-17T15:00:00-04:00
2023-05-17,2023-05-17T15:10:00-04:00,SPY,momentum_continuation,LONG,415.155,414.62910714285715,415.7970714285714,414.64,-230.2049999999939,-0.9792869269949472,447,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-17T15:25:00-04:00
